Date,SPY C-to-C,BAC C-to-C,SPY O-to-C,BAC O-to-C
01/02/2001,0.213149021,-1.304235396,0.181484033,-1.274057679
02/02/2001,-1.811092003,0.655753426,-1.861484853,0.040268413
05/02/2001,0.673729624,-0.392013408,0.272538302,-1.432127957
06/02/2001,-0.285492732,-4.54608464,-0.281113432,-1.556960712
07/02/2001,-0.939864207,-2.850575903,-0.260686529,-2.891440204
08/02/2001,-0.543583733,-1.38818645,-0.856717102,-1.981636292
09/02/2001,-1.23456866,1.542264826,-0.915526925,1.5025203
12/02/2001,0.998074592,1.041670773,1.167383687,0.22014255
13/02/2001,-0.850653007,0.456039295,-1.215130087,-0.77250244
14/02/2001,0.122847198,1.14649629,0.021843992,0.396492815
15/02/2001,0.5639205,0.351967731,0.11959309,0.648650233
16/02/2001,-1.832467265,0.99544398,-0.261095516,0.923406329
20/02/2001,-1.644676873,-4.400725291,-1.909102142,-3.054211972
21/02/2001,-2.133213657,-2.917359752,-1.762919442,-1.226605907
22/02/2001,-0.054439209,0.78791092,-0.279062222,1.821352688
23/02/2001,-0.50190787,2.299960336,0.246696147,4.034655027
26/02/2001,1.806764477,3.654347414,0.977579586,2.54886104
27/02/2001,-0.617958011,0.955807459,-0.737039295,-0.350815386
28/02/2001,-1.747256836,-3.528060028,-1.79341754,-2.435896437
01/03/2001,0.282763296,-0.367534491,0.806860909,2.08532946
02/03/2001,-0.570763332,-0.613692623,1.252403299,0.976948037
05/03/2001,0.516992927,0.036447729,0.240240364,-0.041231184
06/03/2001,1.128391748,2.494262699,-0.49284528,0.478516127
07/03/2001,0.572076568,4.437099434,0.022792208,4.253256779
08/03/2001,0.317077181,1.96237544,-0.079675305,0.752682375
09/03/2001,-2.528567339,-1.848701105,-1.254228383,-0.491647734
12/03/2001,-4.352169107,-1.905141519,-1.860602108,-0.596614951
13/03/2001,1.567487326,5.187137853,1.561108976,3.239035963
14/03/2001,-2.644070451,-4.241656806,0.358660719,0.367727051
15/03/2001,0.571074582,0.690540681,-0.60038467,-0.017164344
16/03/2001,-2.200688218,-1.817432749,-1.626810125,-2.128098228
19/03/2001,1.785398761,3.224392513,1.514477162,2.664492019
20/03/2001,-2.651558891,-2.954803119,-2.084844864,-2.047093901
